departure_time,arrival_time,flight_id,aircraft_id,itinerary_no,ticket_no,flight_cost,origin_airport,destination_airport,frequent_flier,travel_date,airplane_model,frequent_flier_no,passenger_name,passenger_country,tail_no,distance,turbulance,temp_at_dept,fuel_consumed_litre,taxi_duration_mins,avg_flight_speed_kmps,engine_performance,passenger_dob,passenger_flight_class
12:49:49,13:55:49,NXQ71826,AI453,170525483,PE-04395-LX-186,635.36,Lebanon,Miami Beach,True,2021-10-21,Boeing 787-9,653903SP,Melvin,France,P002AO,1063,5,-14.7,15038.2,91.0,838.4,16866,1969-08-08,executive
14:41:49,15:05:49,RHL27136,AI189,128189512,AB-16313-KL-559,6652.86,Payson,South Bend,False,2021-08-11,Pilatus PC-6 Turbo Porter,,Benton,Lesotho,E575MN,5525,1,-5.5,63104.7,36.0,1105.9,40308,1981-03-22,business
01:06:49,01:52:49,BNP53716,AI358,55958319,CV-24679-UV-826,1615.0,Maple Valley,Kinston,False,2021-03-15,BAe 146-100,,Thora,Jordan,N235ZY,1689,1,-8.5,24144.1,44.0,842.8,16597,1990-01-06,premium economy
13:51:49,16:30:49,YJE23936,AI846,179154405,MU-49608-SY-999,6388.06,Hinsdale,Faribault,True,2021-02-16,Junkers Ju 52/3M,912226YH,Livia,Afghanistan,T337SX,5754,1,0.1,63403.1,53.0,1024.6,42719,1980-12-15,business
20:37:49,23:19:49,BXK97470,AI090,52015855,ML-81731-LK-662,6007.81,Grand Island,Charlottesville,False,2022-01-09,Boeing 787-8,,Patrick,Armenia,W881NJ,1591,0,-14.6,20037.7,79.0,844.1,11040,1983-04-08,business
16:32:49,18:58:49,WFA19956,AI008,163730200,OP-20815-OU-107,1968.76,Bonita Springs,Rochester Hills,False,2022-05-12,Ilyushin IL18,,Terrence,Australia,U521FL,6030,1,6.7,66852.5,18.0,1433.0,50230,1974-08-11,executive
16:41:49,19:16:49,DUG35065,AI796,104432938,RR-07471-YR-136,5030.45,Mishawaka,Chattanooga,True,2021-06-05,De Havilland Canada DHC-2 Beaver,886551RW,Kelvin,Djibouti,G684BI,5556,0,-14.3,67306.7,116.0,1105.3,44028,1990-03-25,premium economy
18:40:49,20:28:49,XBN97043,AI829,60114794,UC-18055-MP-619,5460.93,Dothan,Champaign,False,2022-02-11,Gulfstream G650,,Etsuko,Venezuela,S635FK,2584,1,-14.0,24705.4,86.0,929.3,21328,1978-11-26,executive
19:16:49,20:21:49,MMD72423,AI254,126857745,QF-94778-QA-377,1746.15,Edina,Owensboro,True,2022-06-02,Diamond DA42,578594ID,Nick,Ecuador,Q173KS,3171,0,-8.6,57295.1,49.0,906.5,27272,1989-02-27,business
03:36:49,05:52:49,IRG33708,AI753,175590873,EZ-05206-UE-459,1152.83,Camarillo,Marshalltown,False,2021-11-12,Dassault Falcon 7X,,Augustus,Tuvalu,C032KH,1579,0,-9.6,16289.8,112.0,815.1,15058,1981-03-28,business
10:14:49,13:09:49,MGV60839,AI026,163528447,LW-35270-DV-317,5176.85,New Castle,New Castle,False,2021-12-31,Airbus A340-500,,Wesley,St. Vincent & Grenadines,H799MH,4947,1,7.6,67727.5,46.0,1377.5,26920,1983-03-14,business
